,QUARTER,SKILL_COUNT,COUNT,SKILL_RATIO,GROUP,TYPE
0,2019-Q2,1962.0,283172.0,0.006929,AI/ML,Raw
1,2020-Q1,3023.0,363402.0,0.008319,AI/ML,Raw
2,2019-Q1,2141.0,318484.0,0.006722,AI/ML,Raw
3,2024-Q1,3484.0,437134.0,0.00797,AI/ML,Raw
4,2020-Q2,1982.0,186383.0,0.010634,AI/ML,Raw
5,2021-Q4,4625.0,511861.0,0.009036,AI/ML,Raw
6,2022-Q2,7489.0,578532.0,0.012945,AI/ML,Raw
7,2022-Q1,5737.0,596705.0,0.009614,AI/ML,Raw
8,2022-Q4,4364.0,502009.0,0.008693,AI/ML,Raw
9,2023-Q3,3439.0,506220.0,0.006793,AI/ML,Raw
10,2023-Q4,3247.0,441052.0,0.007362,AI/ML,Raw
11,2023-Q2,3663.0,551084.0,0.006647,AI/ML,Raw
12,2018-Q2,2309.0,403022.0,0.005729,AI/ML,Raw
13,2021-Q3,4039.0,488580.0,0.008267,AI/ML,Raw
14,2018-Q1,2596.0,449189.0,0.005779,AI/ML,Raw
15,2018-Q3,2174.0,378586.0,0.005742,AI/ML,Raw
16,2018-Q4,2123.0,354035.0,0.005997,AI/ML,Raw
17,2024-Q2,3827.0,396924.0,0.009642,AI/ML,Raw
18,2021-Q1,3529.0,340041.0,0.010378,AI/ML,Raw
19,2020-Q4,2881.0,318413.0,0.009048,AI/ML,Raw
20,2019-Q3,2420.0,337576.0,0.007169,AI/ML,Raw
21,2021-Q2,4071.0,431921.0,0.009425,AI/ML,Raw
22,2023-Q1,4251.0,576518.0,0.007374,AI/ML,Raw
23,2019-Q4,2697.0,312871.0,0.00862,AI/ML,Raw
24,2020-Q3,2535.0,270403.0,0.009375,AI/ML,Raw
25,2022-Q3,4318.0,503673.0,0.008573,AI/ML,Raw
26,2019-Q2,2942.0,283172.0,0.010389,Green,Raw
27,2020-Q1,3985.0,363402.0,0.010966,Green,Raw
28,2019-Q1,3370.0,318484.0,0.010581,Green,Raw
29,2024-Q1,7151.0,437134.0,0.016359,Green,Raw
30,2020-Q2,2166.0,186383.0,0.011621,Green,Raw
31,2021-Q4,5479.0,511861.0,0.010704,Green,Raw
32,2022-Q2,7509.0,578532.0,0.012979,Green,Raw
33,2022-Q1,7026.0,596705.0,0.011775,Green,Raw
34,2022-Q4,7418.0,502009.0,0.014777,Green,Raw
35,2023-Q4,6934.0,441052.0,0.015722,Green,Raw
36,2023-Q3,8064.0,506220.0,0.01593,Green,Raw
37,2023-Q2,7789.0,551084.0,0.014134,Green,Raw
38,2018-Q2,3442.0,403022.0,0.00854,Green,Raw
39,2021-Q3,6222.0,488580.0,0.012735,Green,Raw
40,2018-Q1,3851.0,449189.0,0.008573,Green,Raw
41,2018-Q3,3605.0,378586.0,0.009522,Green,Raw
42,2018-Q4,3553.0,354035.0,0.010036,Green,Raw
43,2024-Q2,6299.0,396924.0,0.01587,Green,Raw
44,2021-Q1,4152.0,340041.0,0.01221,Green,Raw
45,2020-Q4,3622.0,318413.0,0.011375,Green,Raw
46,2019-Q3,3751.0,337576.0,0.011112,Green,Raw
47,2023-Q1,8762.0,576518.0,0.015198,Green,Raw
48,2021-Q2,5420.0,431921.0,0.012549,Green,Raw
49,2019-Q4,3707.0,312871.0,0.011848,Green,Raw
50,2020-Q3,3073.0,270403.0,0.011365,Green,Raw
51,2022-Q3,6949.0,503673.0,0.013797,Green,Raw
52,2018-Q1,,,0.004899911529761825,AI/ML,Normalized
53,2018-Q2,,,0.0053765702184564316,AI/ML,Normalized
54,2018-Q3,,,0.0057187597813703785,AI/ML,Normalized
55,2018-Q4,,,0.006145398707878785,AI/ML,Normalized
56,2019-Q1,,,0.006674142150374733,AI/ML,Normalized
57,2019-Q2,,,0.006934572260144281,AI/ML,Normalized
58,2019-Q3,,,0.0074034871269011105,AI/ML,Normalized
59,2019-Q4,,,0.008459886737308726,AI/ML,Normalized
60,2020-Q1,,,0.008112287163187492,AI/ML,Normalized
61,2020-Q2,,,0.010480080012584466,AI/ML,Normalized
62,2020-Q3,,,0.009383489278707665,AI/ML,Normalized
63,2020-Q4,,,0.00862465153709134,AI/ML,Normalized
64,2021-Q1,,,0.008774702948078706,AI/ML,Normalized
65,2021-Q2,,,0.008486003063133768,AI/ML,Normalized
66,2021-Q3,,,0.007891155423985262,AI/ML,Normalized
67,2021-Q4,,,0.008709580236850608,AI/ML,Normalized
68,2022-Q1,,,0.008817967011899767,AI/ML,Normalized
69,2022-Q2,,,0.011974398534411724,AI/ML,Normalized
70,2022-Q3,,,0.008219059316287872,AI/ML,Normalized
71,2022-Q4,,,0.008631783422902412,AI/ML,Normalized
72,2023-Q1,,,0.007915480269812128,AI/ML,Normalized
73,2023-Q2,,,0.007569822695918912,AI/ML,Normalized
74,2023-Q3,,,0.008047604087321077,AI/ML,Normalized
75,2023-Q4,,,0.00891890206816635,AI/ML,Normalized
76,2024-Q1,,,0.00983860404592237,AI/ML,Normalized
77,2024-Q2,,,0.012030031784944559,AI/ML,Normalized
78,2018-Q1,,,0.00888642314070957,Green,Normalized
79,2018-Q2,,,0.008761332517923926,Green,Normalized
80,2018-Q3,,,0.009816502345324664,Green,Normalized
81,2018-Q4,,,0.010118087521587295,Green,Normalized
82,2019-Q1,,,0.01050777621786055,Green,Normalized
83,2019-Q2,,,0.010322942090712436,Green,Normalized
84,2019-Q3,,,0.01121351864502314,Green,Normalized
85,2019-Q4,,,0.011673468394773984,Green,Normalized
86,2020-Q1,,,0.011064959502063406,Green,Normalized
87,2020-Q2,,,0.012926747851874875,Green,Normalized
88,2020-Q3,,,0.011880163866728027,Green,Normalized
89,2020-Q4,,,0.011692792579610777,Green,Normalized
90,2021-Q1,,,0.01229763180639409,Green,Normalized
91,2021-Q2,,,0.012721134327408564,Green,Normalized
92,2021-Q3,,,0.012754693024707062,Green,Normalized
93,2021-Q4,,,0.0110412543223444,Green,Normalized
94,2022-Q1,,,0.011798015876727807,Green,Normalized
95,2022-Q2,,,0.013338972100884293,Green,Normalized
96,2022-Q3,,,0.013680431658562739,Green,Normalized
97,2022-Q4,,,0.014945489744466257,Green,Normalized
98,2023-Q1,,,0.015132371984319616,Green,Normalized
99,2023-Q2,,,0.014174132232374733,Green,Normalized
100,2023-Q3,,,0.015740080218096163,Green,Normalized
101,2023-Q4,,,0.015765163084042428,Green,Normalized
102,2024-Q1,,,0.016435817618048132,Green,Normalized
103,2024-Q2,,,0.016425800881486805,Green,Normalized
