,GROUP,SOC_1,OCCUPATION,YEAR,SKILL_COEF,DEGREE_COEF,DEGREE_PREV,DEMAND,LOG_COUNT,DEMAND_CHANGE
41,AI/ML,Administrative and secretarial occupations,Administrative occupations,2018,0.32077878081199146,1.6403028097388574,0.22,0.0014155483834437461,11.570873566924426,
37,AI/ML,Administrative and secretarial occupations,Administrative occupations,2019,0.48309202892008785,-1.4426465766194996,0.25735294117647056,0.0016135538523598225,11.341971056651351,
39,AI/ML,Administrative and secretarial occupations,Administrative occupations,2020,0.2339374741176692,-0.83601157086858,0.13291139240506328,0.002414868252124473,11.088705580378416,0.7059595280308126
40,AI/ML,Administrative and secretarial occupations,Administrative occupations,2021,-0.02167475521000073,0.20335150672708024,0.22602739726027396,0.002563854913908913,11.642997129631992,0.5889490828950488
38,AI/ML,Administrative and secretarial occupations,Administrative occupations,2022,0.1479717957564961,-0.12525779358134947,0.2157676348547718,0.003160987382282731,11.934814951492534,0.30896887625312974
36,AI/ML,Administrative and secretarial occupations,Administrative occupations,2023,0.21635167376116682,0.1781468692446435,0.16,0.002392458969328676,11.893366738973565,-0.06685087508283483
35,AI/ML,Associate professional occupations,Business and public service associate professionals,2018,0.4039930652279423,0.03987124359786698,0.4777777777777778,0.014727725888069284,11.975929655195719,
31,AI/ML,Associate professional occupations,Business and public service associate professionals,2019,0.34185801920326486,0.0885322443635691,0.465780403741999,0.016218935667284228,11.737859412568058,
33,AI/ML,Associate professional occupations,Business and public service associate professionals,2020,0.327860164357331,0.12094175744502644,0.468075737560546,0.022330822631713505,11.529762916159896,0.5162437705201575
34,AI/ML,Associate professional occupations,Business and public service associate professionals,2021,0.35394940653662393,0.11942506018596988,0.4253106038717134,0.019932272889574863,12.064727951263805,0.22895073378834185
32,AI/ML,Associate professional occupations,Business and public service associate professionals,2022,0.354405744376031,0.029331239055960467,0.38025851938895416,0.02003597528817901,12.266075897865983,-0.10276591155560155
30,AI/ML,Associate professional occupations,Business and public service associate professionals,2023,0.18727306449148728,0.06476086383323662,0.3778217821782178,0.014061682055623002,12.098298107352079,-0.29452691454080704
59,AI/ML,Professional occupations,"Business, media and public service professionals",2018,0.11459754071780326,-0.08033427619711986,0.4288577154308617,0.005751398949995101,12.064065434424608,
55,AI/ML,Professional occupations,"Business, media and public service professionals",2019,0.11696910213286071,0.05161960205248528,0.41557305336832895,0.008508642637009246,11.808084515027552,
57,AI/ML,Professional occupations,"Business, media and public service professionals",2020,0.099816350942741,-0.03787898209667295,0.4343807763401109,0.008431453529599701,11.762352557797954,0.4659830769706703
58,AI/ML,Professional occupations,"Business, media and public service professionals",2021,0.22664657288345486,-0.2737110560902778,0.3789528252980819,0.009999429788866369,12.16998422163295,0.1752085750284993
56,AI/ML,Professional occupations,"Business, media and public service professionals",2022,0.1564210892577354,-0.12154519866546898,0.37250554323725055,0.01138634900464122,12.378566905568622,0.3504609809765278
54,AI/ML,Professional occupations,"Business, media and public service professionals",2023,0.1427529702877934,-0.10527766969341013,0.3403431101272828,0.00892667480128639,12.21813460670805,-0.10728161607518982
95,AI/ML,"Caring, leisure and other service occupations",Caring personal service occupations,2018,0.14437732437255857,0.0,0.08333333333333333,0.0008250683259707444,10.97124536660834,
91,AI/ML,"Caring, leisure and other service occupations",Caring personal service occupations,2019,0.10729040454731176,0.0,0.07547169811320754,0.0010208012326656394,10.857459351377972,
93,AI/ML,"Caring, leisure and other service occupations",Caring personal service occupations,2020,-0.04181041076122405,0.0,0.10714285714285714,0.0008316255309037988,11.117479992244311,0.007947468987298034
94,AI/ML,"Caring, leisure and other service occupations",Caring personal service occupations,2021,0.01821882008671838,0.39343690189203384,0.12,0.0008339263476249778,11.406853585241857,-0.18306686851530474
92,AI/ML,"Caring, leisure and other service occupations",Caring personal service occupations,2022,-0.10050526333421866,0.0,0.12222222222222222,0.0015549009614470946,11.65930027665719,0.8697128739629365
90,AI/ML,"Caring, leisure and other service occupations",Caring personal service occupations,2023,0.02375744983633621,0.0,0.07027027027027027,0.0015599045507053298,11.683486470116224,0.8705543422964606
155,AI/ML,"Caring, leisure and other service occupations",Community and civil enforcement occupations,2018,0.0,,,0.0,6.159095388491933,
151,AI/ML,"Caring, leisure and other service occupations",Community and civil enforcement occupations,2019,0.0,,0.0,0.0026109660574412533,5.948034989180646,
153,AI/ML,"Caring, leisure and other service occupations",Community and civil enforcement occupations,2020,0.0,,0.0,0.00390625,5.545177444479562,inf
154,AI/ML,"Caring, leisure and other service occupations",Community and civil enforcement occupations,2021,0.0,,0.0,0.0016611295681063123,6.400257445308821,-0.3637873754152824
152,AI/ML,"Caring, leisure and other service occupations",Community and civil enforcement occupations,2022,0.0,,1.0,0.0012738853503184713,6.665683717782408,-0.6738853503184714
150,AI/ML,"Caring, leisure and other service occupations",Community and civil enforcement occupations,2023,0.0,,,0.0,6.824373670043086,-1.0
5,AI/ML,"Managers, directors and senior officials",Corporate managers and directors,2018,0.15430474986594633,-0.024569029909958573,0.16533864541832669,0.004327474289458031,11.66137133182305,
1,AI/ML,"Managers, directors and senior officials",Corporate managers and directors,2019,0.2109169688864671,0.11665499324911899,0.19320214669051877,0.00626906513547461,11.398277509809317,
3,AI/ML,"Managers, directors and senior officials",Corporate managers and directors,2020,0.17139190896707768,0.006179250420218274,0.2672566371681416,0.007258199195817222,11.262449256713312,0.6772368153633173
4,AI/ML,"Managers, directors and senior officials",Corporate managers and directors,2021,0.28937127522434203,-0.1516382905043611,0.24971493728620298,0.007221732721778012,11.707167358076449,0.15196326178086195
2,AI/ML,"Managers, directors and senior officials",Corporate managers and directors,2022,0.25369959606721854,-0.04483416990394773,0.22913256955810146,0.008050331038571758,11.93028620532478,0.10913613988591386
0,AI/ML,"Managers, directors and senior officials",Corporate managers and directors,2023,0.15710944988930764,0.03804764642694369,0.23996175908221798,0.007603291367429418,11.83190269540272,0.05283477807213344
77,AI/ML,Associate professional occupations,"Culture, media and sports occupations",2018,0.03338311587149323,0.3470661111710207,0.34782608695652173,0.0026282710547366017,9.770070439095777,
73,AI/ML,Associate professional occupations,"Culture, media and sports occupations",2019,-0.2604505220318263,0.8889224591993785,0.39655172413793105,0.003417997524898344,9.739143428972826,
75,AI/ML,Associate professional occupations,"Culture, media and sports occupations",2020,0.2260394064882707,1.3666696173090616,0.3037974683544304,0.004565946133394983,9.75857738074032,0.7372432440582388
76,AI/ML,Associate professional occupations,"Culture, media and sports occupations",2021,0.15038765112960784,2.289630963057985,0.3706896551724138,0.006669733210671573,9.763765609360991,0.9513569457221711
74,AI/ML,Associate professional occupations,"Culture, media and sports occupations",2022,0.19257415474679984,0.11103811939628638,0.17647058823529413,0.007966260543580132,9.968338524855744,0.7447118977851068
72,AI/ML,Associate professional occupations,"Culture, media and sports occupations",2023,0.031129784213750344,0.9927025235817831,0.2894736842105263,0.00674745860522928,10.022469868767994,0.011653448811617562
113,AI/ML,Sales and customer service occupations,Customer service occupations,2018,0.0054315950445591454,0.0,0.0625,0.0017512176435177584,10.50632702006454,
109,AI/ML,Sales and customer service occupations,Customer service occupations,2019,0.6509197522802377,0.0,0.04054054054054054,0.002519577800476677,10.287729024192666,
111,AI/ML,Sales and customer service occupations,Customer service occupations,2020,0.00206607338556708,0.0,0.11904761904761904,0.0020839535576064306,9.911158058840348,0.19000260494194698
112,AI/ML,Sales and customer service occupations,Customer service occupations,2021,-0.00019313340942472834,0.0,0.17721518987341772,0.002106666666666667,10.532096211958502,-0.16388108108108101
110,AI/ML,Sales and customer service occupations,Customer service occupations,2022,-0.06429127432954318,0.0,0.16428571428571428,0.002912358802604481,10.780434363667258,0.39751617399263584
108,AI/ML,Sales and customer service occupations,Customer service occupations,2023,-0.10176180560838066,0.0,0.046511627906976744,0.0018183355886332883,10.764181004307874,-0.13686601805381893
17,AI/ML,Elementary occupations,Elementary administration and service occupations,2018,0.15080036725955415,0.0,0.1694915254237288,0.000834417604797194,11.166313999655774,
13,AI/ML,Elementary occupations,Elementary administration and service occupations,2019,0.4024823339377326,1.7539125852677193,0.21311475409836064,0.0009611748392789613,11.058228094981839,
15,AI/ML,Elementary occupations,Elementary administration and service occupations,2020,0.3820898097208172,0.0,0.1527777777777778,0.0013061461432406936,10.917340471995036,0.5653386694281859
16,AI/ML,Elementary occupations,Elementary administration and service occupations,2021,0.06662797929185182,0.0,0.14788732394366197,0.0013962223336578075,11.529812080126652,0.4526205603812967
14,AI/ML,Elementary occupations,Elementary administration and service occupations,2022,0.051085113582255925,0.1411177713788574,0.14912280701754385,0.0017152271547541131,11.797555384337963,0.3131969677592463
12,AI/ML,Elementary occupations,Elementary administration and service occupations,2023,0.1037041740455622,0.0,0.061611374407582936,0.0013821473722823773,11.935975055835396,-0.010080745047643558
125,AI/ML,Elementary occupations,Elementary trades and related occupations,2018,-0.31783322903631994,0.0,0.037037037037037035,0.002450757919578833,9.307194813340065,
121,AI/ML,Elementary occupations,Elementary trades and related occupations,2019,0.0,,0.07692307692307693,0.0013276143790849674,9.189321004752108,
123,AI/ML,Elementary occupations,Elementary trades and related occupations,2020,0.1914942535037123,2.8229762188809753,0.21428571428571427,0.0014850960008486263,9.15133319139615,-0.39402582809817355
124,AI/ML,Elementary occupations,Elementary trades and related occupations,2021,0.0666341690359964,0.5179601038523708,0.14285714285714285,0.001876298331434698,9.610658925931467,0.4132856354929664
122,AI/ML,Elementary occupations,Elementary trades and related occupations,2022,-0.19717391304636722,0.0,0.14285714285714285,0.0020473822755191578,9.746541302073402,0.3786194793799358
120,AI/ML,Elementary occupations,Elementary trades and related occupations,2023,0.07335438784594306,0.0,0.043478260869565216,0.0023917225601830187,9.864382832655368,0.2747027059146854
119,AI/ML,Associate professional occupations,Health and social care associate professionals,2018,-0.2669472027520814,-0.14086308884516274,0.34782608695652173,0.0015662240381341505,10.287729024192666,
115,AI/ML,Associate professional occupations,Health and social care associate professionals,2019,0.5784258067086672,-0.2466100173135124,0.4,0.0020094040107704056,10.121940118362215,
117,AI/ML,Associate professional occupations,Health and social care associate professionals,2020,-0.4366277184684052,1.6843351245761513,0.3918918918918919,0.0029472678030906486,10.130941799437423,0.8817664212341816
118,AI/ML,Associate professional occupations,Health and social care associate professionals,2021,0.2950616736105056,0.0,0.29591836734693877,0.002668046064632055,10.511376364144162,0.3277798045247884
116,AI/ML,Associate professional occupations,Health and social care associate professionals,2022,0.10997559545977253,0.0,0.2565789473684211,0.0031660070818579464,10.779164601524986,0.07421764609850423
114,AI/ML,Associate professional occupations,Health and social care associate professionals,2023,0.33581403495681417,1.5667281860370679,0.31851851851851853,0.0024987506246876563,10.897239200588063,-0.06345296739385409
89,AI/ML,Professional occupations,Health professionals,2018,-0.04964299231774971,-0.12828434583575943,0.16666666666666666,0.0012292423086991658,11.383488535721314,
85,AI/ML,Professional occupations,Health professionals,2019,-0.1320810800488239,0.761126552022459,0.24074074074074073,0.001546436037687219,11.153933553219133,
87,AI/ML,Professional occupations,Health professionals,2020,-0.1781364372935581,-0.3085185194101836,0.3644859813084112,0.0013180586351318059,11.304424190392888,0.07225290392634554
88,AI/ML,Professional occupations,Health professionals,2021,0.038463568762374,1.6400255369231713,0.330188679245283,0.0010898846367393942,11.48512252030814,-0.2952281179573536
86,AI/ML,Professional occupations,Health professionals,2022,0.24156991851955384,2.2493343053130643,0.3333333333333333,0.0015028944634110138,11.58795872320044,0.1402333882215523
84,AI/ML,Professional occupations,Health professionals,2023,0.019868978117982605,0.9948144044476461,0.17751479289940827,0.0017077434544921738,11.50248111210828,0.5669029518584889
131,AI/ML,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",2018,0.00017225580445501265,0.0,0.06451612903225806,0.002107266671198423,9.596350792250211,
127,AI/ML,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",2019,0.0,,0.0,0.0016530291759649558,9.400878083541478,
129,AI/ML,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",2020,0.0,,0.2,0.0012009126936471718,9.02725852623582,-0.43010881818569213
130,AI/ML,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",2021,-0.25727434796102333,0.0,0.21052631578947367,0.0014186515343836332,9.502487461387123,-0.14178675427462106
128,AI/ML,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",2022,0.0007591805346622849,0.0,0.12962962962962962,0.002708124373119358,9.900483043515829,1.2550551654964894
126,AI/ML,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",2023,0.0009666633515177381,0.0,0.024390243902439025,0.0017707523538049582,10.049922830765674,0.24819401444788447
71,AI/ML,"Managers, directors and senior officials",Other managers and proprietors,2018,0.11887654761888289,-0.6235686967400909,0.32,0.0019494697442295696,10.84536805540928,
67,AI/ML,"Managers, directors and senior officials",Other managers and proprietors,2019,0.7321261311593457,2.4218553179654774,0.2524271844660194,0.0025233965407418296,10.616878439573116,
69,AI/ML,"Managers, directors and senior officials",Other managers and proprietors,2020,0.19984251338251102,0.9385653352130483,0.297029702970297,0.0028057114284126897,10.491218660339424,0.43921773431857325
70,AI/ML,"Managers, directors and senior officials",Other managers and proprietors,2021,-0.021553753331700842,-0.001626234930704351,0.27692307692307694,0.003354550146223981,10.970437160695397,0.32937891134534425
68,AI/ML,"Managers, directors and senior officials",Other managers and proprietors,2022,0.2350397168043834,0.02596182776497946,0.26501766784452296,0.004230510501532252,11.11087950490772,0.5078209607342377
66,AI/ML,"Managers, directors and senior officials",Other managers and proprietors,2023,0.1997083246372089,0.025412959851889738,0.24193548387096775,0.0038486010024984868,11.073474318858892,0.14727782705249748
101,AI/ML,"Process, plant and machine operatives","Process, plant and machine operatives",2018,0.13585663980071616,1.7763568394002505e-15,0.32,0.000805594045048819,10.342806433400801,
97,AI/ML,"Process, plant and machine operatives","Process, plant and machine operatives",2019,-0.014086676572909518,0.0,0.1,0.002258951093708821,10.187199253484014,
99,AI/ML,"Process, plant and machine operatives","Process, plant and machine operatives",2020,0.024435151596021054,2.2150310947781495,0.1076923076923077,0.002836693724360653,10.03950335645357,2.5212446539233655
100,AI/ML,"Process, plant and machine operatives","Process, plant and machine operatives",2021,0.45489420975949524,-0.48107063443058795,0.21333333333333335,0.0020224355517204184,10.520940888726873,-0.104701488512566
98,AI/ML,"Process, plant and machine operatives","Process, plant and machine operatives",2022,0.5371749232910998,0.8767632181428355,0.1834862385321101,0.0024189432103149063,10.715772406372029,-0.14726669659760372
96,AI/ML,"Process, plant and machine operatives","Process, plant and machine operatives",2023,0.19000074777390585,0.9203844436165416,0.2222222222222222,0.002120640904806786,10.751156772532244,0.04855796418473135
143,AI/ML,Associate professional occupations,Protective service occupations,2018,0.0,,0.3333333333333333,0.0033027522935779817,7.9102237070973445,
139,AI/ML,Associate professional occupations,Protective service occupations,2019,0.0,,0.5,0.0009149130832570906,7.689828668736484,
141,AI/ML,Associate professional occupations,Protective service occupations,2020,0.3801346346009886,0.0,0.45454545454545453,0.005667181865018032,7.57095858316901,0.7158967313526821
142,AI/ML,Associate professional occupations,Protective service occupations,2021,0.16356139660195357,0.0,0.5,0.004419191919191919,8.060855752934316,3.8301767676767673
140,AI/ML,Associate professional occupations,Protective service occupations,2022,0.08203797681318203,0.0,0.15384615384615385,0.00550381033022862,8.460411177317253,-0.028827649911477238
138,AI/ML,Associate professional occupations,Protective service occupations,2023,-0.18990698552031837,0.0,0.23529411764705882,0.0028043549983503796,8.709795057617749,-0.3654145260875712
83,AI/ML,Sales and customer service occupations,Sales occupations,2018,0.047368840282539626,-0.15809713696680494,0.18994413407821228,0.0021146144667981903,11.34626857414242,
79,AI/ML,Sales and customer service occupations,Sales occupations,2019,0.22519676173637737,0.3774240881309172,0.18926553672316385,0.0051896266107633445,11.13039044150244,
81,AI/ML,Sales and customer service occupations,Sales occupations,2020,0.20841292881572282,0.7040883785047078,0.16608996539792387,0.005949195108897031,10.790926032503254,1.8133710434247194
82,AI/ML,Sales and customer service occupations,Sales occupations,2021,-0.09409540401761762,-1.4338702219087125,0.18712273641851107,0.006315361449610531,11.273360314238015,0.2169201993284835
80,AI/ML,Sales and customer service occupations,Sales occupations,2022,0.210927679777059,-0.576018979800192,0.12063492063492064,0.009316494631924521,11.527153760980859,0.5660092603101363
78,AI/ML,Sales and customer service occupations,Sales occupations,2023,0.1441438201490146,0.6566004092873521,0.16122004357298475,0.004081197151164341,11.63041512426264,-0.3537666555227763
23,AI/ML,Associate professional occupations,"Science, engineering and technology associate professionals",2018,0.3790757787949015,0.29941342664478743,0.2723112128146453,0.0067857142857142855,11.072868912092446,
19,AI/ML,Associate professional occupations,"Science, engineering and technology associate professionals",2019,0.3757627199991218,0.06593693917185783,0.31291028446389496,0.009339300676435125,10.79820729448214,
21,AI/ML,Associate professional occupations,"Science, engineering and technology associate professionals",2020,0.36231724063027027,-0.1936480986200948,0.29043478260869565,0.01375630995956841,10.640627694781701,1.027245678252187
22,AI/ML,Associate professional occupations,"Science, engineering and technology associate professionals",2021,0.3590947338755995,0.03377084562679267,0.2372047244094488,0.014708862958566176,11.14293367266909,0.5749426502221415
20,AI/ML,Associate professional occupations,"Science, engineering and technology associate professionals",2022,0.3754956774518149,0.18798601535606618,0.2027123483226267,0.016566549995270078,11.3453112234485,0.20428734478659827
18,AI/ML,Associate professional occupations,"Science, engineering and technology associate professionals",2023,0.2586820753743674,-0.11336877894380648,0.20622119815668202,0.01199093772448472,11.189795818780091,-0.18478146419187247
29,AI/ML,Professional occupations,"Science, research, engineering and technology professionals",2018,0.06888675830549326,-0.13017046757573858,0.33231026785714285,0.01673968482312169,12.274207815963383,
25,AI/ML,Professional occupations,"Science, research, engineering and technology professionals",2019,0.13624027831022079,-0.11012005914301803,0.33657817109144544,0.02208339576181201,11.94151447621243,
27,AI/ML,Professional occupations,"Science, research, engineering and technology professionals",2020,0.19355109646292418,0.06903227931716927,0.33278879813302215,0.02778228028657568,11.946232692306483,0.6596656735257884
28,AI/ML,Professional occupations,"Science, research, engineering and technology professionals",2021,0.16082133496496487,-0.13175230550224765,0.30058605798889576,0.0262384771647553,12.417621234325656,0.1881540976650209
26,AI/ML,Professional occupations,"Science, research, engineering and technology professionals",2022,0.21467438358550947,-0.016828745516708044,0.3090730268010819,0.028106232852571855,12.575572004005675,0.011660402337554387
24,AI/ML,Professional occupations,"Science, research, engineering and technology professionals",2023,0.1819815181109175,0.042277290073478246,0.3315129449838188,0.023538597777545016,12.255043745710651,-0.10289771659602576
137,AI/ML,Administrative and secretarial occupations,Secretarial and related occupations,2018,-0.08531012083225464,0.8251766410054957,0.12195121951219512,0.0011841497227356747,10.452302362206153,
133,AI/ML,Administrative and secretarial occupations,Secretarial and related occupations,2019,0.17125767477279563,0.14207545603515115,0.1,0.001803036313151347,10.230306199986291,
135,AI/ML,Administrative and secretarial occupations,Secretarial and related occupations,2020,0.2724752360371141,0.6576871529731443,0.0847457627118644,0.0031960996749729144,9.823361508056843,1.6990671986893218
136,AI/ML,Administrative and secretarial occupations,Secretarial and related occupations,2021,0.14447493064640127,2.87837793007369,0.11594202898550725,0.0020190197512801756,10.43924966159215,0.11978873445501104
134,AI/ML,Administrative and secretarial occupations,Secretarial and related occupations,2022,0.18386528465768714,0.0,0.1076923076923077,0.0027928760177884718,10.748217833797062,-0.12616116460381033
132,AI/ML,Administrative and secretarial occupations,Secretarial and related occupations,2023,0.0005941167815919357,0.0,0.09923664122137404,0.0027853376424562,10.758583500082091,0.3795494772600092
149,AI/ML,Skilled trades occupations,Skilled agricultural and related trades,2018,-0.7819196930796988,1.3715467424148047,0.09090909090909091,0.0028962611901000527,8.242229891372231,
145,AI/ML,Skilled trades occupations,Skilled agricultural and related trades,2019,0.0,,0.0,0.003215434083601286,8.137688184977605,
147,AI/ML,Skilled trades occupations,Skilled agricultural and related trades,2020,0.0,,0.0,0.00064,8.047189562170502,-0.7790254545454545
148,AI/ML,Skilled trades occupations,Skilled agricultural and related trades,2021,0.0,,0.0,0.0028798915805522615,8.683215975240689,-0.1043537184482467
146,AI/ML,Skilled trades occupations,Skilled agricultural and related trades,2022,0.0,,0.0625,0.0026533996683250414,8.704502289721232,3.1459369817578766
144,AI/ML,Skilled trades occupations,Skilled agricultural and related trades,2023,0.07814624461525455,0.0,0.03225806451612903,0.003826215749197729,8.999866223762636,0.3285971510302468
65,AI/ML,Skilled trades occupations,Skilled construction and building trades,2018,0.0,,0.125,0.0006400512040963277,10.126551100650167,
61,AI/ML,Skilled trades occupations,Skilled construction and building trades,2019,0.030658850150679484,0.0,0.0,0.0010503721971046262,9.994104920119742,
63,AI/ML,Skilled trades occupations,Skilled construction and building trades,2020,0.0,,0.16666666666666666,0.0009373535385096079,9.862821795810113,0.46449773472894873
64,AI/ML,Skilled trades occupations,Skilled construction and building trades,2021,0.28062274065135373,0.0,0.03125,0.0008808874941503565,10.500316545422477,-0.16135680611259318
62,AI/ML,Skilled trades occupations,Skilled construction and building trades,2022,-0.30952032525055273,0.0,0.08695652173913043,0.0012686505419344163,10.498442905329538,0.3534386864870329
60,AI/ML,Skilled trades occupations,Skilled construction and building trades,2023,-0.20001164165964358,0.0,0.0,0.002059802168451074,10.696004842041615,1.338326042916318
107,AI/ML,Skilled trades occupations,"Skilled metal, electrical and electronic trades",2018,-0.13733523626311506,0.0,0.18181818181818182,0.0011072525039005487,10.590063187713035,
103,AI/ML,Skilled trades occupations,"Skilled metal, electrical and electronic trades",2019,-0.020331129307253448,3.500870784097088,0.19718309859154928,0.002146117341232657,10.406774834263818,
105,AI/ML,Skilled trades occupations,"Skilled metal, electrical and electronic trades",2020,0.0,,0.11382113821138211,0.004250907205806117,10.272807214007939,2.8391488760073513
106,AI/ML,Skilled trades occupations,"Skilled metal, electrical and electronic trades",2021,0.12203878043754468,3.6706733173368242,0.1320754716981132,0.0023943439271758037,10.69808511413156,0.11566310060221308
104,AI/ML,Skilled trades occupations,"Skilled metal, electrical and electronic trades",2022,-0.37635932019100515,0.5715693862650064,0.14705882352941177,0.0032241546076962465,10.872882937297062,-0.24153728801877317
102,AI/ML,Skilled trades occupations,"Skilled metal, electrical and electronic trades",2023,0.005691282963615152,0.9338671200538569,0.1145374449339207,0.0036400372021423303,11.040711394498347,0.5202649714721046
11,AI/ML,Professional occupations,Teaching and other educational professionals,2018,-0.020684692478716127,1.7763568394002505e-14,0.44727272727272727,0.0035201802332279412,11.266014185727938,
7,AI/ML,Professional occupations,Teaching and other educational professionals,2019,0.058890991954168914,2.3073504555590665,0.544,0.004336212578485448,10.962214907505324,
9,AI/ML,Professional occupations,Teaching and other educational professionals,2020,0.0945731410897801,-0.08918741030041666,0.464,0.003947763197372368,11.05606705747418,0.1214662136070066
10,AI/ML,Professional occupations,Teaching and other educational professionals,2021,0.07509256723285712,0.44746951683266367,0.5756756756756757,0.005075585064062114,11.196816482778157,0.17051112513374833
8,AI/ML,Professional occupations,Teaching and other educational professionals,2022,-0.003020132564959477,0.22160052174568254,0.5187601957585645,0.006537899553119101,11.448504270282973,0.6561022600014934
6,AI/ML,Professional occupations,Teaching and other educational professionals,2023,0.023894565124761513,0.16649672369263735,0.5081967213114754,0.004553768056436863,11.582115650322852,-0.10280923303206901
53,AI/ML,Skilled trades occupations,"Textiles, printing and other skilled trades",2018,0.0,,0.2222222222222222,0.00028777898573895247,10.350542360403455,
49,AI/ML,Skilled trades occupations,"Textiles, printing and other skilled trades",2019,0.0,,0.0,0.00014257877477306212,9.954228194239311,
51,AI/ML,Skilled trades occupations,"Textiles, printing and other skilled trades",2020,0.0,,0.0,0.00035790980672870435,9.321523900936798,0.2436968106259445
52,AI/ML,Skilled trades occupations,"Textiles, printing and other skilled trades",2021,-0.11116311761513664,0.0,0.18518518518518517,0.0010270064663370103,10.176943917723927,6.203081019399011
50,AI/ML,Skilled trades occupations,"Textiles, printing and other skilled trades",2022,0.18677310526522595,0.0,0.1836734693877551,0.0013097051826905088,10.529773516588858,2.6593162804372814
48,AI/ML,Skilled trades occupations,"Textiles, printing and other skilled trades",2023,0.09304601376116395,0.0,0.0,0.0006285731389745278,10.41658060374452,-0.38795600653183937
47,AI/ML,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,2018,-0.20250095869139084,0.0,0.3333333333333333,0.00039419741406496373,10.546708924326348,
43,AI/ML,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,2019,0.0,,0.03773584905660377,0.0017700888384209472,10.307017456009781,
45,AI/ML,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,2020,-0.15118534526336402,0.0,0.23333333333333334,0.0010895224260032686,10.223213201696582,1.7639004902850917
46,AI/ML,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,2021,-0.27462877655385665,0.0,0.0,0.000688737947085926,10.647945527330501,-0.6109020450632681
44,AI/ML,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,2022,0.05011979503421815,0.0,0.03508771929824561,0.0013238573021181717,10.670256872966688,0.21508036046079537
42,AI/ML,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,2023,0.14021092203242946,0.0,0.08771929824561403,0.0011794160855800864,10.785787073542922,0.7124308172219007
41,Green,Administrative and secretarial occupations,Administrative occupations,2018,0.05575410666138647,-0.15849697037791444,0.0905292479108635,0.006775758262084064,11.570873566924426,
37,Green,Administrative and secretarial occupations,Administrative occupations,2019,0.105165284017492,0.777306362739564,0.09866666666666667,0.008898274921101963,11.341971056651351,
